 relname  | relkind | reltuples | relpages 
 t_1_148  | r       |      3206 |       15
 t_1_149  | r       |      2425 |       11
 t_1_150  | r       |      6326 |       28
 t_1_151  | r       |      7977 |       36
 t_1_152  | r       |      3979 |       18
 t_1_154  | r       |      7692 |       35
 t_1_155  | r       |      8575 |       38
 t_1_156  | r       |      2638 |       12
 t_1_157  | r       |      4327 |       20
 t_1_159  | r       |      6690 |       30
 t_1_160  | r       |      6363 |       29
 t_1_161  | r       |      9135 |       41
 t_1_162  | r       |       478 |        3
 t_1_163  | r       |      4861 |       22
 t_1_164  | r       |      2386 |       11
 t_1_165  | r       |      2017 |        9
 t_1_166  | r       |      8071 |       36
 t_1_167  | r       |      1595 |        8
 t_1_168  | r       |      7450 |       33
 t_1_169  | r       |      9769 |       44
 t_1_170  | r       |      3666 |       17
 t_1_171  | r       |      8472 |       38
 t_1_172  | r       |      2161 |       10
 t_1_173  | r       |      2169 |       10
 t_1_174  | r       |      7132 |       32
 t_1_175  | r       |      8457 |       38
 t_1_177  | r       |      5994 |       27
 t_1_178  | r       |      5376 |       24
 t_1_179  | r       |      8565 |       38
 t_1_181  | r       |      3536 |       16
 t_1_182  | r       |       632 |        3
 t_1_183  | r       |      5404 |       24
 t_1_184  | r       |      5973 |       27
 t_1_185  | r       |      3538 |       16
 t_1_186  | r       |      2891 |       13
 t_1_187  | r       |      8152 |       37
 t_1_188  | r       |      5993 |       27
 t_1_189  | r       |      1231 |        6
 t_1_190  | r       |      7422 |       33
 t_1_191  | r       |      7853 |       35
 t_1_192  | r       |      1241 |        6
 t_1_193  | r       |       187 |        1
 t_1_194  | r       |      7044 |       32
 t_1_195  | r       |       224 |        1
 t_1_196  | r       |       270 |        2
 t_1_197  | r       |      6097 |       27
 t_1_199  | r       |      5202 |       24
 t_1_200  | r       |      8183 |       37
 t_1_201  | r       |      2475 |       11
 t_1_202  | r       |      3500 |       16
 t_1_204  | r       |      9219 |       41
 t_1_205  | r       |      4371 |       20
 t_1_206  | r       |       413 |        2
 t_1_207  | r       |      8199 |       37
 t_1_208  | r       |      5075 |       23
 t_1_209  | r       |      3648 |       17
 t_1_210  | r       |      8446 |       38
 t_1_211  | r       |      1228 |        6
 t_1_212  | r       |      9647 |       43
 t_1_213  | r       |      9796 |       44
 t_1_214  | r       |      5766 |       26
 t_1_215  | r       |      3909 |       18
 t_1_216  | r       |      8028 |       36
 t_1_217  | r       |      9322 |       42
 t_1_218  | r       |      6520 |       29
 t_1_219  | r       |      5632 |       25
 t_1_220  | r       |      2213 |       10
 t_1_222  | r       |      6788 |       31
 t_1_223  | r       |      1980 |        9
 t_1_224  | r       |      4042 |       18
 t_1_226  | r       |      7352 |       33
 t_1_227  | r       |      4349 |       20
 t_1_228  | r       |      3084 |       14
 t_1_229  | r       |      2363 |       11
 t_1_230  | r       |      3791 |       17
 t_1_231  | r       |         0 |        0
 t_1_232  | r       |      6428 |       29
 t_1_233  | r       |      4915 |       22
 t_1_234  | r       |      3020 |       14
 t_1_235  | r       |      8741 |       39
 t_1_236  | r       |      4433 |       20
 t_1_237  | r       |      7035 |       32
 t_1_238  | r       |      3735 |       17
 t_1_239  | r       |      5479 |       25
 t_1_240  | r       |       661 |        3
 t_1_241  | r       |      6558 |       30
 t_1_242  | r       |      2932 |       13
 t_1_244  | r       |      2500 |       12
 t_1_245  | r       |      7705 |       35
 t_1_246  | r       |      4947 |       22
 t_1_247  | r       |      7074 |       32
 t_1_249  | r       |       219 |        1
 t_1_250  | r       |      1414 |        7
 t_1_251  | r       |      3651 |       17
 t_1_252  | r       |      7350 |       33
 t_1_253  | r       |      9136 |       41
 t_1_254  | r       |      9813 |       44
 t_1_255  | r       |       209 |        1
 t_1_256  | r       |       806 |        4
 t_1_257  | r       |      7573 |       34
 t_1_258  | r       |      6458 |       29
 t_1_259  | r       |      7965 |       36
 t_1_260  | r       |      3509 |       16
 t_1_261  | r       |      9187 |       41
 t_1_262  | r       |       561 |        3
 t_1_263  | r       |      3950 |       18
 t_1_264  | r       |      4714 |       21
 t_1_265  | r       |      1983 |        9
 t_1_267  | r       |      9627 |       43
 t_1_268  | r       |       591 |        3
 t_1_269  | r       |      1233 |        6
 t_1_271  | r       |      3984 |       18
 t_1_272  | r       |      6484 |       29
 t_1_273  | r       |      8176 |       37
 t_1_274  | r       |      4705 |       21
 t_1_275  | r       |      7911 |       36
 t_1_276  | r       |      6964 |       31
 t_1_277  | r       |      7156 |       32
 t_1_278  | r       |       209 |        1
 t_1_279  | r       |      7216 |       32
 t_1_280  | r       |      2447 |       11
 t_1_281  | r       |      2809 |       13
 t_1_282  | r       |      8494 |       38
 t_1_283  | r       |      6053 |       27
 t_1_284  | r       |      1595 |        8
 t_1_285  | r       |      4031 |       18
 t_1_286  | r       |      9731 |       44
 t_1_287  | r       |      5524 |       25
 t_1_289  | r       |      2770 |       13
 t_1_290  | r       |      7259 |       33
 t_1_291  | r       |       336 |        2
 t_1_292  | r       |      9987 |       45
 t_1_294  | r       |      2333 |       11
 t_1_295  | r       |      7654 |       34
 t_1_296  | r       |      8228 |       37
 t_1_297  | r       |      8031 |       36
 t_1_298  | r       |      8024 |       36
 t_1_299  | r       |      9923 |       44
 t_1_300  | r       |      9748 |       44
 t_1_301  | r       |      1799 |        8
 t_1_302  | r       |      4204 |       19
 t_1_303  | r       |      2753 |       13
 t_1_304  | r       |      8067 |       36
 t_1_305  | r       |      2762 |       13
 t_1_306  | r       |      4776 |       22
 t_1_307  | r       |      5862 |       26
 t_1_308  | r       |       780 |        4
 t_1_309  | r       |      3332 |       15
 t_1_310  | r       |      9707 |       43
 t_1_312  | r       |      8736 |       39
 t_1_313  | r       |      9894 |       44
 t_1_314  | r       |      6696 |       30
 t_1_316  | r       |      7363 |       33
 t_1_317  | r       |      3835 |       17
 t_1_318  | r       |      8929 |       40
 t_1_319  | r       |      7144 |       32
 t_1_320  | r       |      7551 |       34
 t_1_321  | r       |      8292 |       37
 t_1_322  | r       |      5000 |       23
 t_1_323  | r       |      3594 |       16
 t_1_324  | r       |      7466 |       34
 t_1_325  | r       |      9111 |       41
 t_1_326  | r       |       537 |        3
 t_1_327  | r       |      4460 |       20
 t_1_328  | r       |      9055 |       41
 t_1_329  | r       |       776 |        4
 t_1_330  | r       |      3803 |       17
 t_1_331  | r       |      4132 |       19
 t_1_332  | r       |      2409 |       11
 t_1_334  | r       |      7079 |       32
 t_1_335  | r       |      7007 |       32
 t_1_336  | r       |      1501 |        7
 t_1_337  | r       |      4163 |       19
 t_1_339  | r       |      8276 |       37
 t_1_340  | r       |      5752 |       26
 t_1_341  | r       |      6089 |       27
 t_1_342  | r       |       208 |        1
 t_1_343  | r       |      9071 |       41
 t_1_344  | r       |      9417 |       42
 t_1_345  | r       |      6576 |       30
 t_1_346  | r       |      6941 |       31
 t_1_347  | r       |      8148 |       37
 t_1_348  | r       |      9793 |       44
 t_1_349  | r       |      4257 |       19
 t_1_350  | r       |      1478 |        7
 t_1_351  | r       |      4833 |       22
 t_1_352  | r       |      6984 |       31
 t_1_353  | r       |      6369 |       29
 t_1_354  | r       |      1489 |        7
 t_1_355  | r       |      6678 |       30
 t_1_357  | r       |      7601 |       34
 t_1_358  | r       |      8431 |       38
 t_1_359  | r       |      4054 |       18
 t_1_361  | r       |       315 |        2
 t_1_362  | r       |       158 |        1
 t_1_363  | r       |      7709 |       35
 t_1_364  | r       |      9084 |       41
 t_1_365  | r       |      8382 |       38
 t_1_366  | r       |      9028 |       40
 t_1_367  | r       |      3517 |       16
 t_1_368  | r       |      6973 |       31
 t_1_369  | r       |      2890 |       13
 t_1_370  | r       |      4603 |       21
 t_1_371  | r       |      6675 |       30
 t_1_372  | r       |      6022 |       27
 t_1_373  | r       |      5602 |       25
 t_1_374  | r       |      6003 |       27
 t_1_375  | r       |      4867 |       22
 t_1_376  | r       |      9548 |       43
 t_1_377  | r       |      8658 |       39
 t_1_379  | r       |      2248 |       10
 t_1_380  | r       |      5993 |       27
 t_1_381  | r       |       597 |        3
 t_1_382  | r       |      7977 |       36
 t_1_384  | r       |      6740 |       30
 t_1_385  | r       |      5933 |       27
 t_1_386  | r       |      9756 |       44
 t_1_387  | r       |      8521 |       38
 t_1_388  | r       |      4984 |       23
 t_1_389  | r       |      8135 |       36
 t_1_390  | r       |      6103 |       28
 t_1_391  | r       |      3729 |       17
 t_1_392  | r       |      3064 |       14
 t_1_393  | r       |      5868 |       26
 t_1_394  | r       |      3788 |       17
 t_1_395  | r       |      6343 |       29
 t_1_396  | r       |      3207 |       15
 t_1_397  | r       |      5301 |       24
 t_1_398  | r       |      3477 |       16
 t_1_399  | r       |      3738 |       17
 t_1_400  | r       |      5484 |       25
 t_1_402  | r       |      4608 |       21
 t_1_403  | r       |      7611 |       34
 t_1_404  | r       |      4438 |       20
 t_1_406  | r       |      7407 |       33
 t_1_407  | r       |      9516 |       43
 t_1_408  | r       |      4705 |       21
 t_1_409  | r       |      5155 |       23
 t_1_410  | r       |      4978 |       23
 t_1_411  | r       |      4365 |       20
 t_1_412  | r       |      1387 |        7
 t_1_413  | r       |      2923 |       13
 t_1_414  | r       |      3282 |       15
 t_1_415  | r       |      4050 |       18
 t_1_416  | r       |      7756 |       35
 t_1_417  | r       |      3134 |       14
 t_1_418  | r       |      5202 |       24
 t_1_419  | r       |      3583 |       16
 t_1_420  | r       |      1586 |        8
 t_1_421  | r       |      4089 |       19
 t_1_422  | r       |      1208 |        6
 t_1_424  | r       |      4664 |       21
 t_1_425  | r       |      6793 |       31
 t_1_426  | r       |      9986 |       45
 t_1_427  | r       |      6134 |       28
 t_1_429  | r       |      4469 |       20
 t_1_430  | r       |      7853 |       35
 t_1_431  | r       |      8624 |       39
 t_1_432  | r       |      3741 |       17
 t_1_433  | r       |       515 |        3
 t_1_434  | r       |      9935 |       44
 t_1_435  | r       |      9791 |       44
 t_1_436  | r       |      3313 |       15
 t_1_437  | r       |      9489 |       42
 t_1_438  | r       |      3681 |       17
 t_1_439  | r       |      6856 |       31
 t_1_440  | r       |      6746 |       30
 t_1_441  | r       |      8361 |       37
 t_1_442  | r       |       218 |        1
 t_1_443  | r       |       554 |        3
 t_1_444  | r       |      1466 |        7
 t_1_445  | r       |      7096 |       32
 t_1_447  | r       |      3706 |       17
 t_1_448  | r       |      9877 |       44
 t_1_449  | r       |      4773 |       22
 t_1_451  | r       |      8342 |       37
 t_1_452  | r       |      6318 |       28
 t_1_453  | r       |      4052 |       18
 t_1_454  | r       |      1302 |        6
 t_1_455  | r       |      5424 |       24
 t_1_456  | r       |       746 |        4
 t_1_457  | r       |      5943 |       27
 t_1_458  | r       |      4923 |       22
 t_1_459  | r       |      5154 |       23
 t_1_460  | r       |      6384 |       29
 t_1_461  | r       |      2940 |       14
 t_1_462  | r       |      2024 |        9
 t_1_463  | r       |      6081 |       27
 t_1_464  | r       |      8176 |       37
 t_1_465  | r       |      4101 |       19
 t_1_466  | r       |      8552 |       38
 t_1_467  | r       |       870 |        4
 t_1_469  | r       |       445 |        2
 t_1_470  | r       |      2040 |       10
 t_1_471  | r       |      6675 |       30
 t_1_472  | r       |      8471 |       38
 t_1_474  | r       |       925 |        5
 t_1_475  | r       |      4599 |       21
 t_1_476  | r       |      1430 |        7
 t_1_477  | r       |      6641 |       30
 t_1_478  | r       |      1298 |        6
 t_1_479  | r       |      3898 |       18
 t_1_480  | r       |      2890 |       13
 t_1_481  | r       |      4351 |       20
 t_1_482  | r       |      8680 |       39
 t_1_483  | r       |      1787 |        8
 t_1_484  | r       |      9096 |       41
 t_1_485  | r       |      8241 |       37
 t_1_486  | r       |      2930 |       13
 t_1_487  | r       |      4807 |       22
 t_1_488  | r       |      4065 |       18
 t_1_489  | r       |      2103 |       10
 t_1_490  | r       |      4515 |       20
 t_1_492  | r       |       939 |        5
 t_1_493  | r       |      2771 |       13
 t_1_494  | r       |      8243 |       37
 t_1_496  | r       |      6999 |       31
 t_1_497  | r       |      4745 |       21
 t_1_498  | r       |      7834 |       35
 t_1_499  | r       |      5509 |       25
 t_1_500  | r       |      2915 |       13
 t_1_501  | r       |      9166 |       41
 t_1_502  | r       |      6765 |       30
 t_1_503  | r       |      7322 |       33
 t_1_504  | r       |      5199 |       24
 t_1_505  | r       |      1551 |        7
 t_1_506  | r       |      6199 |       28
 t_1_507  | r       |      4358 |       20
 t_1_508  | r       |      3295 |       15
 t_1_509  | r       |      3484 |       16
 t_1_510  | r       |      1726 |        8
 t_1_511  | r       |      9505 |       43
 t_1_512  | r       |      9046 |       41
 t_1_514  | r       |        69 |        1
 t_1_515  | r       |      3052 |       14
 t_1_516  | r       |      2175 |       10
 t_1_517  | r       |      1239 |        6
 t_1_519  | r       |      3497 |       16
 t_1_520  | r       |       520 |        3
 t_1_521  | r       |      6694 |       30
 t_1_522  | r       |      5927 |       27
 t_1_523  | r       |      3414 |       16
 t_1_524  | r       |      6400 |       29
 t_1_525  | r       |      2903 |       13
 t_1_526  | r       |      2145 |       10
 t_1_527  | r       |         0 |        0
 t_1_528  | r       |      8716 |       39
 t_1_529  | r       |      4758 |       22
 t_1_530  | r       |      2897 |       13
 t_1_531  | r       |      2428 |       11
 t_1_532  | r       |       638 |        3
 t_1_533  | r       |       624 |        3
 t_1_534  | r       |      7334 |       33
 t_1_535  | r       |      2493 |       12
 t_1_537  | r       |      8038 |       36
 t_1_538  | r       |      3297 |       15
 t_1_539  | r       |      2236 |       10
 t_1_541  | r       |      5106 |       23
 t_1_542  | r       |      5282 |       24
 t_1_543  | r       |      5991 |       27
 t_1_544  | r       |       883 |        4
 t_1_545  | r       |      2031 |        9
 t_1_546  | r       |      1917 |        9
 t_1_547  | r       |      4409 |       20
 t_1_548  | r       |      2893 |       13
 t_1_549  | r       |      7322 |       33
 t_1_550  | r       |      7937 |       36
 t_1_551  | r       |      9945 |       45
 t_1_552  | r       |      2842 |       13
 t_1_553  | r       |      5766 |       26
 t_1_554  | r       |      7650 |       34
 t_1_555  | r       |      7832 |       35
 t_1_556  | r       |      3120 |       14
 t_1_557  | r       |      4314 |       20
 t_1_559  | r       |      7775 |       35
 t_1_560  | r       |      4884 |       22
 t_1_561  | r       |      9200 |       41
 t_1_562  | r       |      3765 |       17
 t_1_564  | r       |      3128 |       14
 t_1_565  | r       |      3413 |       16
 t_1_566  | r       |      7985 |       36
 t_1_567  | r       |      7930 |       36
 t_1_568  | r       |      3178 |       15
 t_1_569  | r       |      6547 |       29
 t_1_570  | r       |       215 |        1
 t_1_571  | r       |       650 |        3
 t_1_572  | r       |      3271 |       15
 t_1_573  | r       |      1019 |        5
 t_1_574  | r       |      1045 |        5
 t_1_575  | r       |      4880 |       22
 t_1_576  | r       |      2448 |       11
 t_1_577  | r       |      2826 |       13
 t_1_578  | r       |       239 |        2
 t_1_579  | r       |      2380 |       11
 t_1_580  | r       |      5454 |       25
 t_1_582  | r       |      7207 |       32
 t_1_583  | r       |      8175 |       37
 t_1_584  | r       |      6349 |       29
 t_1_586  | r       |      9750 |       44
 t_1_587  | r       |      4531 |       21
 t_1_588  | r       |      1209 |        6
 t_1_589  | r       |      4149 |       19
 t_1_590  | r       |      4858 |       22
 t_1_591  | r       |      9430 |       42
 t_1_592  | r       |      4184 |       19
 t_1_593  | r       |      9221 |       41
 t_1_594  | r       |      5997 |       27
 t_1_595  | r       |       612 |        3
 t_1_596  | r       |      8489 |       38
 t_1_597  | r       |      2432 |       11
 t_1_598  | r       |       238 |        2
 t_1_599  | r       |      4112 |       19
 t_1_600  | r       |      1741 |        8
 t_1_601  | r       |      2111 |       10
 t_1_602  | r       |      1270 |        6
 t_1_604  | r       |      6338 |       29
 t_1_605  | r       |      1958 |        9
 t_1_606  | r       |       534 |        3
 t_1_607  | r       |      8026 |       36
 t_1_609  | r       |      8327 |       37
 t_1_610  | r       |      3982 |       18
 t_1_611  | r       |      4191 |       19
 t_1_612  | r       |      1042 |        5
 t_1_613  | r       |      1843 |        9
 t_1_614  | r       |      9803 |       44
 t_1_615  | r       |      7362 |       33
 t_1_616  | r       |      8796 |       39
 t_1_617  | r       |       860 |        4
 t_1_618  | r       |      4180 |       19
 t_1_619  | r       |      6153 |       28
 t_1_620  | r       |      1724 |        8
 t_1_621  | r       |      3132 |       14
 t_1_622  | r       |      9485 |       42
 t_1_623  | r       |      8393 |       38
 t_1_624  | r       |       416 |        2
 t_1_625  | r       |      7935 |       36
 t_1_627  | r       |      6956 |       31
 t_1_628  | r       |      4474 |       20
 t_1_629  | r       |      5803 |       26
 t_1_631  | r       |      3988 |       18
 t_1_632  | r       |      6568 |       30
 t_1_633  | r       |      9626 |       43
 t_1_634  | r       |      1209 |        6
 t_1_635  | r       |      5847 |       26
 t_1_636  | r       |      8217 |       37
 t_1_637  | r       |      8039 |       36
 t_1_638  | r       |      6016 |       27
 t_1_639  | r       |      9803 |       44
 t_1_640  | r       |      1925 |        9
 t_1_641  | r       |       933 |        5
 t_1_642  | r       |      8977 |       40
 t_1_643  | r       |      2197 |       10
 t_1_644  | r       |      9923 |       44
 t_1_645  | r       |      3096 |       14
 t_1_646  | r       |      1796 |        8
 t_1_647  | r       |      1414 |        7
 t_1_649  | r       |      2594 |       12
 t_1_650  | r       |      8865 |       40
 t_1_651  | r       |      2289 |       11
 t_1_652  | r       |      9855 |       44
 t_1_654  | r       |      1676 |        8
 t_1_655  | r       |      9260 |       41
 t_1_656  | r       |      2828 |       13
 t_1_657  | r       |      4743 |       21
 t_1_658  | r       |      6993 |       31
 t_1_659  | r       |      7833 |       35
 t_1_660  | r       |      6845 |       31
 t_1_661  | r       |      8467 |       38
 t_1_662  | r       |      4522 |       21
 t_1_663  | r       |      7983 |       36
 t_1_664  | r       |      5097 |       23
 t_1_665  | r       |      5608 |       25
 t_1_666  | r       |      6667 |       30
 t_1_667  | r       |      2458 |       11
 t_1_668  | r       |      3163 |       14
 t_1_669  | r       |      9247 |       41
 t_1_670  | r       |      3477 |       16
 t_1_672  | r       |      1651 |        8
 t_1_673  | r       |      1171 |        6
 t_1_674  | r       |      2157 |       10
 t_1_676  | r       |      6278 |       28
 t_1_677  | r       |       373 |        2
 t_1_678  | r       |      7953 |       36
 t_1_679  | r       |      7112 |       32
 t_1_680  | r       |      7737 |       35
 t_1_681  | r       |      7769 |       35
 t_1_682  | r       |      5185 |       23
 t_1_683  | r       |      7399 |       33
 t_1_684  | r       |      4247 |       19
 t_1_685  | r       |      6908 |       31
 t_1_686  | r       |       529 |        3
 t_1_687  | r       |      1535 |        7
 t_1_688  | r       |      4306 |       20
 t_1_689  | r       |      1759 |        8
 t_1_690  | r       |      9449 |       42
 t_1_691  | r       |      8190 |       37
 t_1_692  | r       |      3896 |       18
 t_1_694  | r       |      7172 |       32
 t_1_695  | r       |       771 |        4
 t_1_696  | r       |      9177 |       41
 t_1_697  | r       |      9092 |       41
 t_1_699  | r       |      2865 |       13
 t_1_700  | r       |      6635 |       30
 t_1_701  | r       |      8811 |       39
 t_1_702  | r       |      2734 |       13
 t_1_703  | r       |      1201 |        6
 t_1_704  | r       |      2779 |       13
 t_1_705  | r       |      7847 |       35
 t_1_706  | r       |      5786 |       26
 t_1_707  | r       |      9245 |       41
 t_1_708  | r       |      1326 |        6
 t_1_709  | r       |      9977 |       45
 t_1_710  | r       |      2391 |       11
 t_1_711  | r       |      4432 |       20
 t_1_712  | r       |      5175 |       23
 t_1_713  | r       |      7667 |       34
 t_1_714  | r       |      1967 |        9
 t_1_715  | r       |      1571 |        7
 t_1_717  | r       |      5820 |       26
 t_1_718  | r       |      7115 |       32
 t_1_719  | r       |       315 |        2
 t_1_721  | r       |      5359 |       24
 t_1_722  | r       |       438 |        2
 t_1_723  | r       |       321 |        2
 t_1_724  | r       |      1680 |        8
 t_1_725  | r       |      7558 |       34
 t_1_726  | r       |      4158 |       19
 t_1_727  | r       |      7493 |       34
 t_1_728  | r       |      7783 |       35
 t_1_729  | r       |      1656 |        8
 t_1_730  | r       |       230 |        2
 t_1_731  | r       |      5428 |       25
 t_1_732  | r       |      8493 |       38
 t_1_733  | r       |      5611 |       25
 t_1_734  | r       |      1527 |        7
 t_1_735  | r       |      3017 |       14
 t_1_736  | r       |      1233 |        6
 t_1_737  | r       |      2955 |       14
 t_1_739  | r       |      7969 |       36
 t_1_740  | r       |      9837 |       44
 t_1_741  | r       |      8454 |       38
 t_1_742  | r       |      6521 |       29
 t_1_744  | r       |      1391 |        7
 t_1_745  | r       |      7992 |       36
 t_1_746  | r       |      5441 |       25
 t_1_747  | r       |      3409 |       16
 t_1_748  | r       |      4515 |       20
 t_1_749  | r       |      9694 |       43
 t_1_750  | r       |      7928 |       36
 t_1_751  | r       |      4449 |       20
 t_1_752  | r       |      6530 |       29
 t_1_753  | r       |      2495 |       12
 t_1_754  | r       |      6367 |       29
 t_1_755  | r       |      7221 |       32
 t_1_756  | r       |      3597 |       16
 t_1_757  | r       |      4150 |       19
 t_1_758  | r       |      9287 |       42
 t_1_759  | r       |      3814 |       17
 t_1_760  | r       |      7850 |       35
 t_1_762  | r       |      2311 |       11
 t_1_763  | r       |      2280 |       11
 t_1_764  | r       |      2744 |       13
 t_1_766  | r       |      4157 |       19
 t_1_767  | r       |       438 |        2
 t_1_768  | r       |       264 |        2
 t_1_769  | r       |      3530 |       16
 t_1_770  | r       |      7249 |       33
 t_1_771  | r       |      7629 |       34
 t_1_772  | r       |      9991 |       45
 t_1_773  | r       |       814 |        4
 t_1_774  | r       |      5282 |       24
 t_1_775  | r       |       613 |        3
 t_1_776  | r       |      8412 |       38
 t_1_777  | r       |      8275 |       37
 t_1_778  | r       |      7581 |       34
 t_1_779  | r       |      1047 |        5
 t_1_780  | r       |      2918 |       13
 t_1_781  | r       |      9316 |       42
 t_1_782  | r       |      4345 |       20
 t_1_784  | r       |      1455 |        7
 t_1_785  | r       |      3353 |       15
 t_1_786  | r       |      7725 |       35
 t_1_787  | r       |      7061 |       32
 t_1_789  | r       |      6980 |       31
 t_1_790  | r       |      4568 |       21
 t_1_791  | r       |      2064 |       10
 t_1_792  | r       |      3611 |       16
 t_1_793  | r       |      7875 |       35
 t_1_794  | r       |      5339 |       24
 t_1_795  | r       |         0 |        0
 t_1_796  | r       |      2234 |       10
 t_1_797  | r       |      2551 |       12
 t_1_798  | r       |      2054 |       10
 t_1_799  | r       |      2077 |       10
 t_1_800  | r       |      3651 |       17
 t_1_801  | r       |    703433 |     3113
 t_1_802  | r       |    866803 |     3836
 t_1_803  | r       |    992595 |     4393
 t_1_804  | r       |    135214 |      599
 t_1_805  | r       |    961144 |     4253
 t_1_807  | r       |    789146 |     3492
 t_1_808  | r       |    635877 |     2814
 t_1_809  | r       |    851105 |     3766
 t_1_811  | r       |    231543 |     1025
 t_1_812  | r       |    918658 |     4065
